side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,type,tenant,length,length_unit,status
HUL107A,dcim.rearport,A,HUL107A/D01,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107A/D01,dcim.rearport,B,HUL107A/S01,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107A/D03,dcim.rearport,B,HUL107A/D02,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107A/D03,dcim.rearport,C,HUL107A/D04,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107A/D03,dcim.rearport,D,HUL107A/D05,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107A/D04,dcim.rearport,B,HUL107A/D02,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107A/S01,dcim.rearport,B,HUL107A/D03,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107B,dcim.rearport,A,HUL107B/D06,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107B,dcim.rearport,A,HUL107B/D08,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107B/D06,dcim.rearport,B,HUL107B/D07,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107B/D07,dcim.rearport,B,HUL107B/D11,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107B/D07,dcim.rearport,C,HUL107B/D12,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107B/D08,dcim.rearport,B,HUL107B/D09,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107B/D11,dcim.rearport,B,HUL107B/D12,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107C,dcim.rearport,A,HUL107C/D10,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107C/D10,dcim.rearport,B,HUL107B/D08,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107C/D10,dcim.rearport,C,HUL107B/D09,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107D,dcim.rearport,A,HUL107D/D13,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107D,dcim.rearport,A,HUL107D/D14,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107D,dcim.rearport,A,HUL107D/D15,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107D,dcim.rearport,A,HUL107D/D16,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107D,dcim.rearport,A,HUL107D/D17,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107D,dcim.rearport,A,HUL107D/D18,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107D/D13,dcim.rearport,B,HUL107D/D14,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107D/D13,dcim.rearport,C,HUL107D/D15,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107D/D13,dcim.rearport,D,HUL107D/D16,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107D/D13,dcim.rearport,E,HUL107D/D17,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107D/D13,dcim.rearport,F,HUL107D/D18,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107D/D15,dcim.rearport,B,HUL107D/D16,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107D/D15,dcim.rearport,C,HUL107D/D17,dcim.rearport,A,smf-os2,MS3,,m,connected
HUL107D/D16,dcim.rearport,B,HUL107D/D17,dcim.rearport,A,smf-os2,MS3,,m,connected
